strategy,cases,avg_cycle_time_days,avg_activity_delay_hours,avg_resource_occupation_pct,resource_fairness_jain,delayed_share_pct
earliest_available,100,14.295911291739122,0.9109366529402849,14.730998341589219,0.15914455270005298,14.103308183401046
earliest_available,500,16.267436035914262,4.888417359230156,34.95875416737018,0.4313127152529206,45.21064048407352
earliest_available,1000,19.445930270954957,8.975821138692014,68.6542712058944,0.5980365442992042,51.25902347524583
k_batch,100,15.965684034704514,0.7897314941485678,14.504195272695892,0.25778176581851514,7.0821529745042495
k_batch,500,23.448355404040903,18.80292362681297,54.90019100525494,0.8464709890755056,79.14713616096948
k_batch,1000,58.77439842493622,99.66362295671982,49.7018168523442,0.9050153133006399,83.9410618048389
random,100,14.857719578052775,1.2233502272334171,9.592486248283407,0.18616943214377246,24.073078989790435
random,500,20.576346983389076,10.89237460933658,31.171910142442847,0.512508634109158,37.95026207204193
random,1000,29.68683333494772,23.309441371965775,63.42106817230917,0.5848507102583522,41.1017425519955
round_robin,100,16.968531728333332,2.400555717512159,13.742088563063588,0.18771366291603073,22.671156004489337
round_robin,500,20.057191876229442,8.01326296691345,51.63183030467089,0.47842595772130614,36.35957066189624
round_robin,1000,26.366837876744512,20.50323604590774,67.92265031061106,0.6079012778035929,39.45129851839333
svfa,100,13.608638625763197,2.349494132385795,11.582897708849817,0.19548435761884925,11.304836895388076
svfa,500,26.647088946242476,30.442942685798727,32.689277441517376,0.7385702615444987,65.39877300613497
svfa,1000,86.06359141211408,173.23628020642394,50.96517494930788,0.883097959064847,73.77484974572354
